Año,Mes,Motivo de Reclamo,Operador,Cantidad
2023,3,Problemas Técnicos,SION S.A.,1
2023,3,Problemas Técnicos,TELECENTRO S.A.,115
2023,3,Problemas Técnicos,Telecom Argentina S.A.,893
2023,3,Problemas Técnicos,Telefonica de Argentina S.A.,253
2023,4,Facturación,AMX Argentina S.A. (Claro),25
2023,4,Facturación,DIRECTV Argentina S.A.L,5
2023,4,Facturación,Fibertel S.A. (TCI),2
2023,4,Facturación,Movistar - Telefonica Moviles Argentina S.A.,24
2023,4,Facturación,NSS S.A.,1
2023,4,Facturación,Otros,18
2023,4,Facturación,SION S.A.,1
2023,4,Facturación,TELECENTRO S.A.,53
2023,4,Facturación,Telecom Argentina S.A.,129
2023,4,Facturación,Telefonica de Argentina S.A.,36
2023,4,Gestiones Administrativas,AMX Argentina S.A. (Claro),14
2023,4,Gestiones Administrativas,DIRECTV Argentina S.A.L,20
2023,4,Gestiones Administrativas,Fibertel S.A. (TCI),4
2023,4,Gestiones Administrativas,Movistar - Telefonica Moviles Argentina S.A.,38
2023,4,Gestiones Administrativas,Otros,21
2023,4,Gestiones Administrativas,TELECENTRO S.A.,33
2023,4,Gestiones Administrativas,Telecom Argentina S.A.,227
2023,4,Gestiones Administrativas,Telefonica de Argentina S.A.,83
2023,4,Otros,AMX Argentina S.A. (Claro),13
2023,4,Otros,DIRECTV Argentina S.A.L,1
2023,4,Otros,Fibertel S.A. (TCI),2
2023,4,Otros,Movistar - Telefonica Moviles Argentina S.A.,20
2023,4,Otros,NSS S.A.,1
2023,4,Otros,Otros,4
2023,4,Otros,TELECENTRO S.A.,7
2023,4,Otros,Telecom Argentina S.A.,54
2023,4,Otros,Telefonica de Argentina S.A.,4
2023,4,Problemas Técnicos,AMX Argentina S.A. (Claro),20
2023,4,Problemas Técnicos,DIRECTV Argentina S.A.L,2
2023,4,Problemas Técnicos,Fibertel S.A. (TCI),5
2023,4,Problemas Técnicos,Movistar - Telefonica Moviles Argentina S.A.,11
2023,4,Problemas Técnicos,Otros,45
2023,4,Problemas Técnicos,TELECENTRO S.A.,44
2023,4,Problemas Técnicos,Telecom Argentina S.A.,558
2023,4,Problemas Técnicos,Telefonica de Argentina S.A.,155
2023,5,Facturación,AMX Argentina S.A. (Claro),21
2023,5,Facturación,DIRECTV Argentina S.A.L,4
2023,5,Facturación,Fibertel S.A. (TCI),3
2023,5,Facturación,Movistar - Telefonica Moviles Argentina S.A.,31
2023,5,Facturación,NSS S.A.,2
2023,5,Facturación,Otros,16
2023,5,Facturación,PRIMA,2
2023,5,Facturación,SION S.A.,1
2023,5,Facturación,TELECENTRO S.A.,31
2023,5,Facturación,Telecom Argentina S.A.,136
2023,5,Facturación,Telefonica de Argentina S.A.,42
2023,5,Gestiones Administrativas,AMX Argentina S.A. (Claro),19
2023,5,Gestiones Administrativas,DIRECTV Argentina S.A.L,19
2023,5,Gestiones Administrativas,Fibertel S.A. (TCI),5
2023,5,Gestiones Administrativas,Movistar - Telefonica Moviles Argentina S.A.,41
2023,5,Gestiones Administrativas,NSS S.A.,2
2023,5,Gestiones Administrativas,Otros,23
2023,5,Gestiones Administrativas,SION S.A.,1
2023,5,Gestiones Administrativas,TELECENTRO S.A.,26
2023,5,Gestiones Administrativas,Telecom Argentina S.A.,203
2023,5,Gestiones Administrativas,Telefonica de Argentina S.A.,89
2023,5,Otros,AMX Argentina S.A. (Claro),6
2023,5,Otros,DIRECTV Argentina S.A.L,1
2023,5,Otros,Fibertel S.A. (TCI),1
2023,5,Otros,Movistar - Telefonica Moviles Argentina S.A.,18
2023,5,Otros,Otros,7
2023,5,Otros,SION S.A.,1
2023,5,Otros,TELECENTRO S.A.,9
2023,5,Otros,Telecom Argentina S.A.,44
2023,5,Otros,Telefonica de Argentina S.A.,4
2023,5,Problemas Técnicos,AMX Argentina S.A. (Claro),12
2023,5,Problemas Técnicos,DIRECTV Argentina S.A.L,3
2023,5,Problemas Técnicos,Fibertel S.A. (TCI),5
2023,5,Problemas Técnicos,Movistar - Telefonica Moviles Argentina S.A.,18
2023,5,Problemas Técnicos,Otros,30
2023,5,Problemas Técnicos,TELECENTRO S.A.,26
2023,5,Problemas Técnicos,Telecom Argentina S.A.,516
2023,5,Problemas Técnicos,Telefonica de Argentina S.A.,159
